CONSTITUENCY: PORTLAND WESTERN (19),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: ST MARGARET'S BAY (6),,,,,,,,,
87 87 TRANQUILITY ALL AGE SCHOOL,0,37,95,0,0,1,133,77.8,171
88 88 BANGOR RIDGE ALL AGE SCHOOL,1,45,56,0,0,0,102,77.9,131
89 89 BANGOR RIDGE ALL AGE SCHOOL,0,60,71,0,0,0,131,78.4,167
90 90 BANGOR RIDGE ALL AGE SCHOOL,0,56,47,0,0,0,103,75.7,136
91 91 BEREA UNITED CHURCH,0,19,193,0,0,1,213,80.4,265
92 92 BEREA UNITED CHURCH,2,14,98,0,0,1,115,77.2,149
93 93 AVOCAT PRIMARY & JUNIOR HIGH SCHOOL,0,19,130,0,0,0,149,77.6,192
95 95 BIRNAMWOOD ALL AGE SCHOOL,0,101,160,0,0,0,261,79.6,328
96 96 AVOCAT PRIMARY & JUNIOR HIGH SCHOOL,0,35,26,0,0,0,61,67.8,90
97 97 AVOCAT PRIMARY & JUNIOR HIGH SCHOOL,1,24,80,0,0,1,106,78.5,135
98 98 BANGOR RIDGE ALL AGE SCHOOL,0,42,43,0,0,0,85,86.7,98
99 99 BIRNAMWOOD ALL AGE SCHOOL,0,53,34,0,0,0,87,81.3,107
100 100 BIRNAMWOOD ALL AGE SCHOOL,0,84,24,0,0,0,108,79.4,136
101 101 CASCADE ALL AGE SCHOOL,0,29,62,0,0,0,91,79.1,115
102 102 BIRNAMWOOD ALL AGE SCHOOL,0,20,12,0,0,0,32,78.0,41
103 103 CASCADE ALL AGE SCHOOL,0,21,12,0,0,0,33,78.6,42
104 104 CASCADE ALL AGE SCHOOL,1,68,93,0,0,0,162,75.7,214
ELECTORAL DIVISION TOTALS 25 PSs,8,"1,457","1,823",0,0,9,"3,297",74.4,"4,430"
CONSTITUENCY TOTALS 99 PSs,28,"5,633","7,927",0,0,53,"13,641",72.9,"18,723"
