CONSTITUENCY: ST. ANDREW SOUTH WESTERN (8),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: WHITFIELD TOWN (20),,,,,,,,,
49 49 COCKBURN GARDENS PRIMARY & JUNIOR HIGH SC,32,1,0,33,21.02%,157
50 50A COCKBURN GARDENS PRIMARY & JUNIOR HIGH SC,70,1,2,73,29.08%,251
50 50B COCKBURN GARDENS PRIMARY & JUNIOR HIGH SC,67,1,1,69,27.49%,251
51 51 ST. ANDREW SETTLEMENT (CLINIC),73,0,0,73,40.78%,179
52 52A ST. ANDREW SETTLEMENT (CLINIC),91,1,6,98,42.06%,233
52 52B ST. ANDREW SETTLEMENT (CLINIC),113,1,0,114,48.93%,233
53 53 ST. ANDREW SETTLEMENT (CLINIC),56,0,2,58,39.19%,148
54 54 ST. ANDREW SETTLEMENT (CLINIC),92,0,0,92,48.42%,190
55 55 ST. ANDREW SETTLEMENT (CLINIC),78,0,3,81,36.16%,224
56 56A ST. ANDREW SETTLEMENT (CLINIC),109,0,3,112,46.09%,243
56 56B ST. ANDREW SETTLEMENT (CLINIC),116,1,3,120,49.38%,243
57 57 JEBB MEMORIAL BASIC SCHOOL,45,0,2,47,28.83%,163
58 58A DELACREE PARK COMMUNITY CENTRE,34,1,0,35,14.83%,236
58 58B DELACREE PARK COMMUNITY CENTRE,34,0,2,36,15.25%,236
59 59 DELACREE PARK COMMUNITY CENTRE,60,2,0,62,18.34%,338
60 60 DELACREE PARK COMMUNITY CENTRE,58,1,0,59,14.79%,399
61 61 DELACREE PARK COMMUNITY CENTRE,57,2,0,59,15.99%,369
62 62A GREENWICH PRIMARY SCHOOL,60,3,0,63,26.14%,241
62 62B GREENWICH PRIMARY SCHOOL,72,1,1,74,30.58%,242
63 63 GREENWICH PRIMARY SCHOOL,64,5,3,72,39.78%,181
64 64 GREENWICH PRIMARY SCHOOL,70,2,0,72,27.27%,264
65 65 GREENWICH PRIMARY SCHOOL,93,2,0,95,28.79%,330
66 66 BLAKE'S BASIC SCHOOL,94,2,5,101,28.06%,360
67 67 BLAKE'S BASIC SCHOOL,85,14,0,99,30.18%,328
68 68 BLAKE'S BASIC SCHOOL,67,5,1,73,26.35%,277
69 69 WESTERN UNITED BASIC SCHOOL,39,1,0,40,21.16%,189
CONSTITUENCY: ST. ANDREW SOUTH WESTERN (8),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: GREENWICH TOWN (22),,,,,,,,,
73 73A BLAKE'S BASIC SCHOOL,35,18,,,,1,54,24.88%,217
73 73B BLAKE'S BASIC SCHOOL,35,9,,,,0,44,20.28%,217
74 74 BLAKE'S BASIC SCHOOL,32,13,,,,2,47,17.03%,276
75 75 WESTERN UNITED BASIC SCHOOL,16,20,,,,0,36,21.56%,167
76 76 BLAKE'S BASIC SCHOOL,30,1,,,,0,31,32.63%,95
ELECTORAL DIVISION TOTALS 40 PSs,"2,354",183,0,0,0,43,"2,580",26.18%,"9,856"
CONSTITUENCY TOTALS 100 PSs,"6,324",223,0,0,0,112,"6,659",25.94%,"25,670"
CONSTITUENCY: ST. ANDREW SOUTHERN (9),,,,,,
POLLING STATION LOCATION,,,,,,
ELECTORAL DIVISION: TRENCH TOWN (23),,,,,,
1 1 LYNDHURST METHODIST CHURCH HALL,1,48,0,49,15.51%,316
2 2 LYNDHURST METHODIST CHURCH HALL,2,99,3,104,26.07%,399
3 3 LYNDHURST BASIC SCHOOL,2,90,0,92,25.00%,368
4 4 LYNDHURST METHODIST CHURCH HALL,4,76,3,83,27.76%,299
5 5 LYNDHURST METHODIST CHURCH HALL,0,50,1,51,23.61%,216
6 6 LYNDHURST METHODIST CHURCH HALL,2,56,2,60,17.14%,350
7 7A THE PEOPLE'S CHURCH,1,33,0,34,15.60%,218
7 7B THE PEOPLE'S CHURCH,1,36,0,37,16.97%,218
8 8 THE PEOPLE'S CHURCH,2,91,1,94,26.93%,349
9 9 THE PEOPLE'S CHURCH,2,59,0,61,16.31%,374
10 10A LYNDHURST BASIC SCHOOL,1,41,1,43,20.09%,214
10 10B LYNDHURST BASIC SCHOOL,0,46,1,47,21.86%,215
11 11 CHARLIE SMITH HIGH SCHOOL,1,43,0,44,24.86%,177
12 12 IRIS GELLY PRIMARY SCHOOL,2,71,1,74,34.10%,217
13 13 IRIS GELLY PRIMARY SCHOOL,1,98,2,101,40.40%,250
14 14 IRIS GELLY PRIMARY SCHOOL,4,138,1,143,41.69%,343
15 15 IRIS GELLY PRIMARY SCHOOL,1,72,0,73,33.33%,219
16 16 CHARLIE SMITH HIGH SCHOOL,1,13,0,14,25.45%,55
17 17 CHARLIE SMITH HIGH SCHOOL,1,65,0,66,40.99%,161
18 18 CHARLIE SMITH HIGH SCHOOL,0,37,1,38,18.81%,202
19 19A CHURCH OF GOD SEVENTH DAY,1,46,0,47,19.03%,247
19 19B CHURCH OF GOD SEVENTH DAY,4,57,3,64,25.81%,248
20 20 CHARLIE SMITH HIGH SCHOOL,2,54,1,57,39.58%,144
21 21 CHARLIE SMITH HIGH SCHOOL,1,109,0,110,35.95%,306
22 22 CHARLIE SMITH HIGH SCHOOL,1,112,3,116,45.31%,256
23 23 CHARLIE SMITH HIGH SCHOOL,0,138,0,138,45.25%,305
24 24 CHARLIE SMIITH HIGH SCHOOL,0,155,2,157,45.11%,348
25 25 CHARLIE SMITH HIGH SCHOOL,1,119,1,121,36.78%,329
26 26 CHURCH OF GOD SEVENTH DAY,5,46,0,51,16.09%,317
27 27 CHARLIE SMITH HIGH SCHOOL,0,120,0,120,45.45%,264
CONSTITUENCY: ST. ANDREW SOUTHERN (9),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: TRENCH TOWN (23),,,,,,,,,
33 33A HOLINESS CHRISTIAN CHURCH,48,3,,,,0,51,22.67%,225
33 33B HOLINESS CHRISTIAN CHURCH,44,1,,,,2,47,20.80%,226
34 34 HOLINESS CHRISTIAN CHURCH,31,1,,,,0,32,30.19%,106
35 35 TRENCH TOWN POLYTECHNIC COLLEGE,4,45,,,,2,51,18.61%,274
37 37 TRENCH TOWN POLYTECHNIC COLLEGE,8,72,,,,2,82,27.06%,303
38 38 TRENCH TOWN POLYTECHNIC COLLEGE,9,29,,,,0,38,10.56%,360
39 39 TRENCH TOWN POLYTECHNIC COLLEGE,22,33,,,,1,56,20.97%,267
40 40A TRENCH TOWN POLYTECHNIC COLLEGE,11,22,,,,1,34,16.11%,211
40 40B TRENCH TOWN POLYTECHNIC COLLEGE,15,26,,,,0,41,19.43%,211
ELECTORAL DIVISION TOTALS 44 PSs,432,"2,808",0,0,0,44,"3,284",28.09%,"11,691"
CONSTITUENCY: ST. ANDREW SOUTHERN (9),,,,,,
POLLING STATION LOCATION,,,,,,
ELECTORAL DIVISION: ADMIRAL TOWN (24),,,,,,
41 41A BOYS TOWN HEART ACADEMY,52,18,1,71,31.14%,228
41 41B BOYS TOWN HEART ACADEMY,49,18,0,67,29.39%,228
42 42 BOYS TOWN HEART ACADEMY,53,23,0,76,31.28%,243
43 43 BOYS TOWN HEART ACADEMY,51,20,4,75,27.08%,277
44 44 BOYS TOWN HEART ACADEMY,5,0,1,6,9.38%,64
50 50 BOYS TOWN HEART ACADEMY,47,21,2,70,25.74%,272
51 51 BOYS TOWN HEART ACADEMY,35,43,1,79,24.31%,325
52 52 JONES TOWN PRIMARY SCHOOL,1,103,3,107,33.44%,320
53 53 JONES TOWN PRIMARY SCHOOL,2,96,2,100,34.36%,291
54 54 JONES TOWN PRIMARY SCHOOL,2,70,2,74,41.34%,179
55 55 JONES TOWN PRIMARY SCHOOL,2,182,2,186,48.06%,387
56 56A JONES TOWN PRIMARY SCHOOL,1,79,4,84,38.36%,219
56 56B JONES TOWN PRIMARY SCHOOL,1,81,0,82,37.27%,220
57 57 JONES TOWN PRIMARY SCHOOL,2,83,0,85,36.02%,236
58 58A KINGSTON RESTORATION CENTER,3,68,4,75,35.38%,212
58 58B KINGSTON RESTORATION CENTER,1,65,0,66,31.13%,212
59 59 JONES TOWN PRIMARY SCHOOL,3,102,1,106,44.92%,236
60 60 JONES TOWN PRIMARY SCHOOL,0,94,3,97,40.93%,237
61 61 JACKSON'S BASIC SCHOOL,1,73,1,75,38.07%,197
62 62 JONES TOWN PRIMARY SCHOOL,1,85,0,86,36.29%,237
63 63A ST. SIMON BASIC SCHOOL,2,100,2,104,38.38%,271
63 63B ST. SIMON BASIC SCHOOL,0,100,1,101,37.13%,272
64 64 JONES TOWN CHURCH OF GOD,2,118,2,122,43.26%,282
65 65 JONES TOWN CHURCH OF GOD,0,127,3,130,31.63%,411
66 66 JACKSON'S BASIC SCHOOL,2,157,2,161,43.05%,374
67 67 ST. SIMON BASIC SCHOOL,2,128,0,130,32.34%,402
68 68 KINGSTON RESTORATION CENTER,0,23,0,23,21.10%,109
69 69 ST. SIMON BASIC SCHOOL,3,115,3,121,36.12%,335
70 70 ST. SIMON BASIC SCHOOL,1,127,2,130,35.62%,365
71 71 JONES TOWN CHURCH OF GOD,0,79,1,80,34.33%,233
CONSTITUENCY: ST. ANDREW SOUTHERN (9),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: ADMIRAL TOWN (24),,,,,,,,,
76 76 TORRINGTON UNITED CHURCH,2,46,,,,1,49,21.03%,233
77 77 IRIS GELLY PRIMARY SCHOOL,1,110,,,,2,113,33.63%,336
78 78 IRIS GELLY PRIMARY SCHOOL,1,89,,,,2,92,31.19%,295
79 79 TORRINGTON UNITED CHURCH,1,28,,,,3,32,9.85%,325
80 80 TORRINGTON UNITED CHURCH,1,35,,,,0,36,13.28%,271
81 81 ST. LUKES CHURCH,3,40,,,,0,43,17.99%,239
82 82A ST. LUKES CHURCH,1,32,,,,0,33,15.87%,208
82 82B ST. LUKES CHURCH,1,24,,,,0,25,12.02%,208
