POLLING STATION LOCATION,PNP DAWKINS EARL A.,JLP MCKENZIE DESMOND ANTHONY A.,MGPPP SEATON ARLINGTON ANTHONY,,,"BALLOTS
REJECTED","TOTAL VOTES 
(including
rejected ballots",PERCENT (%) VOTES,"ELECTORS
ON OFFICIAL
VOTERS LIST",CONSTITUENCY,ELECTORAL DIVISION
20 20 CHURCH OF GOD OF PROPHECY,1,0,1,23,21,1,47,17.2,273,,
21 21 BODLES DAIRY OFFICE,0,1,0,14,12,0,27,9.4,288,,
ELECTORAL DIVISION TOTALS 21 PSs,4,24,6,819,448,10,"1,311",22.3,"5,890",,
CONSTITUENCY: ST. CATHERINE SOUTH WESTERN (53),,,,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,,,
ELECTORAL DIVISION: OLD HARBOUR CENTRAL (6),,,,,,,,,,,
22 22 HOLY TRINITY ANGLICAN CHURCH,0,0,1,38,14,1,54,21.6,250,,
23 23 HOLY TRINITY ANGLICAN CHURCH,1,0,1,38,4,1,45,17.4,258,,
24 24 HOLY TRINITY ANGLICAN CHURCH,0,2,0,32,18,0,52,18.2,286,,
25 25 OLD HARBOUR HIGH SCHOOL,0,1,3,32,13,0,49,26.9,182,,
26 26 HOLY TRINITY ANGLICAN CHURCH,0,2,2,43,15,2,64,28.1,228,,
27 27 HOLY TRINITY ANGLICAN CHURCH,0,1,1,77,10,2,91,31.6,288,,
28 28 HOLY TRINITY ANGLICAN CHURCH,3,1,0,107,16,0,127,30.9,411,,
29 29 HOLY TRINITY ANGLICAN CHURCH,1,1,1,12,5,0,20,12,166,,
30 30 OLD HARBOUR PRIMARY,0,2,0,101,7,0,110,50.2,219,,
31 31 OLD HARBOUR PRIMARY,0,1,1,90,3,3,98,37.1,264,,
32 32A OLD HARBOUR PRIMARY,1,2,1,128,3,0,135,40.4,334,,
32 32B OLD HARBOUR PRIMARY,0,0,0,123,3,1,127,37.9,335,,
33 33 OLD HARBOUR PRIMARY,0,6,0,42,18,0,66,23.5,281,,
34 34 OLD HARBOUR PRIMARY,0,3,0,35,5,0,43,14.8,291,,
35 35 OLD HARBOUR PRIMARY,1,6,1,12,2,1,23,9.2,251,,
36 36 OLD HARBOUR PRIMARY,1,1,0,13,8,0,23,9.1,254,,
37 37 HEART TRAINING CENTRE,0,0,0,18,37,2,57,28.6,199,,
38 38 HEART TRAINING CENTRE,0,2,1,46,62,1,112,28.6,392,,
39 39 OLD HARBOUR PRIMARY,2,2,0,65,33,3,105,29.5,356,,
