CONSTITUENCY: CLARENDON NORTH WESTERN (46),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: SPALDING (1),,,,,,,,,
85 85 THOMPSON TOWN PRIMARY SCHOOL,32,1,0,0,0,0,33,11.0,300
86 86 CAROL BOOTHE PREMISES,5,0,0,0,0,0,5,5.5,91
87 87 THOMPSON TOWN PRIMARY SCHOOL,59,0,0,0,0,0,59,31.6,187
88 88 SMITHVILLE PRIMARY SCHOOL,28,2,0,0,0,0,30,22.4,134
89 89 SMITHVILLE PRIMARY SCHOOL,63,0,0,0,0,1,64,30.3,211
90 90 SMITHVILLE PRIMARY SCHOOL,36,0,0,0,0,0,36,34.0,106
91 91 VICTORIA PRIMARY SCHOOL,70,0,0,0,0,1,71,33.8,210
92 92 WINSTON HOWELL PREMISES,44,0,0,0,0,0,44,20.3,217
93 93 SMITHVILLE PRIMARY SCHOOL,33,0,0,0,0,0,33,15.0,220
94 94 THOMPSON TOWN PRIMARY SCHOOL,52,0,0,0,0,0,52,18.6,280
95 95 VICTORIA PRIMARY SCHOOL,137,4,0,0,0,1,142,39.9,356
96 96A WANSTEAD ALL AGE SCHOOL,53,0,0,0,0,0,53,51.0,104
96 96B BASIL McLEAN PREMISES,38,1,0,0,0,0,39,49.4,79
97 97 GARLOGIE PRIMARY SCHOOL,24,1,0,0,0,0,25,30.5,82
98 98 COFFEE GROVE BASIC SCHOOL,29,0,0,0,0,0,29,15.4,188
99 99 COFFEE GROVE BASIC SCHOOL,50,0,0,0,0,2,52,35.9,145
100 100 RICHMOND PARK CHURCH,20,0,0,0,0,0,20,11.4,176
101 101 JAMES BINNS PREMISES,12,1,0,0,0,0,13,9.7,134
102 102 THOMPSON TOWN PRIMARY SCHOOL,49,0,0,0,0,0,49,25.3,194
103 103 THOMPSON TOWN PRIMARY SCHOOL,38,0,0,0,0,0,38,20.1,189
104 104 THOMPSON TOWN PRIMARY SCHOOL,77,4,0,0,0,1,82,26.6,308
ELECTORAL DIVISION TOTALS 27 PSs,"1,139",19,0,0,0,7,"1,165",23.8,"4,891"
CONSTITUENCY TOTALS 105 PSs,"5,574",401,0,0,0,30,"6,005",26.5,"22,640"
